educ_id,education,major,person_id
0,2,No Degree,0
1,2,No Degree,1
2,2,No Degree,2
3,1,Biology,3
4,3,Psychology,4
5,2,No Degree,5
6,2,Engineering,6
7,4,Music/Dance,7
8,2,Psychology,8
9,1,I.T.,9
10,1,No Degree,10
11,2,No Degree,11
12,3,Sociology,12
13,4,Creative Writing/Arts,13
14,3,Business/Management,14
15,2,No Degree,15
16,2,Mathematics,16
17,3,Fashion,17
18,2,I.T.,18
19,2,Business/Management,19
20,1,No Degree,20
21,1,No Degree,21
22,2,No Degree,22
23,2,Psychology,23
24,2,Engineering,24
25,1,No Degree,25
26,1,Media,26
27,2,No Degree,27
28,2,Business/Management,28
29,2,No Degree,29
30,2,No Degree,30
31,2,No Degree,31
32,3,Teaching,32
33,2,No Degree,33
34,2,No Degree,34
35,2,I.T.,35
36,3,Mathematics,36
37,2,Mathematics,37
38,2,No Degree,38
39,2,No Degree,39
40,3,Business/Management,40
41,1,No Degree,41
42,1,No Degree,42
43,2,No Degree,43
44,1,Biology,44
45,4,B.Ed or M.Ed,45
46,4,Psychology,46
47,2,Business/Management,47
48,2,Business/Management,48
49,3,I.T.,49
50,2,No Degree,50
51,2,No Degree,51
52,3,Engineering,52
53,2,No Degree,53
54,2,No Degree,54
55,2,Mathematics,55
56,3,B.Ed or M.Ed,56
57,3,Creative Writing/Arts,57
58,2,I.T.,58
59,3,Psychology,59
60,2,No Degree,60
61,4,Engineering,61
62,1,No Degree,62
63,2,No Degree,63
64,4,Creative Writing/Arts,64
65,2,Business/Management,65
66,2,No Degree,66
67,1,No Degree,67
68,3,Psychology,68
69,3,Psychology,69
70,3,Psychology,70
71,3,Business/Management,71
72,2,No Degree,72
73,3,I.T.,73
74,2,No Degree,74
75,2,No Degree,75
76,2,No Degree,76
77,3,Pharmacy/Medical,77
78,2,Engineering,78
79,3,I.T.,79
80,2,Law,80
81,1,No Degree,81
82,1,No Degree,82
83,1,No Degree,83
84,3,Creative Writing/Arts,84
85,2,No Degree,85
86,1,No Degree,86
87,2,Engineering,87
88,2,No Degree,88
89,2,No Degree,89
90,2,English,90
91,3,I.T.,91
92,4,No Degree,92
93,4,No Degree,93
94,2,Engineering,94
95,2,No Degree,95
96,3,English,96
97,4,English,97
98,3,Accounting,98
99,4,Accounting,99
100,2,Psychology,100
101,2,No Degree,101
102,3,I.T.,102
103,4,Biology,103
104,2,No Degree,104
105,2,I.T.,105
106,2,No Degree,106
107,2,No Degree,107
108,2,No Degree,108
109,3,Sociology,109
110,2,No Degree,110
111,2,No Degree,111
112,1,No Degree,112
113,2,No Degree,113
114,2,No Degree,114
115,2,No Degree,115
116,3,Psychology,116
117,3,Mathematics,117
118,4,No Degree,118
119,2,English,119
120,2,No Degree,120
121,2,No Degree,121
122,2,No Degree,122
123,1,No Degree,123
124,4,Psychology,124
125,2,No Degree,125
126,4,I.T.,126
127,3,No Degree,127
128,3,Nursing,128
129,2,Business/Management,129
130,1,No Degree,130
131,2,No Degree,131
132,3,No Degree,132
133,2,No Degree,133
134,3,Philosophy,134
135,3,Geography,135
136,1,No Degree,136
137,1,No Degree,137
138,3,Mathematics,138
139,3,Engineering,139
140,2,Psychology,140
141,1,No Degree,141
142,3,Sociology,142
143,2,Pharmacy/Medical,143
144,3,Geography,144
145,1,No Degree,145
146,3,No Degree,146
147,2,No Degree,147
148,3,English,148
149,3,Business/Management,149
150,2,No Degree,150
151,4,Engineering,151
152,2,No Degree,152
153,2,No Degree,153
154,2,No Degree,154
155,2,No Degree,155
156,3,Mathematics,156
157,2,No Degree,157
158,4,Mathematics,158
159,3,I.T.,159
160,1,No Degree,160
161,1,No Degree,161
162,2,No Degree,162
163,3,Creative Writing/Arts,163
164,2,No Degree,164
165,2,No Degree,165
166,2,No Degree,166
167,2,No Degree,167
168,2,No Degree,168
169,4,Pure Sciences,169
170,4,No Degree,170
171,3,Pharmacy/Medical,171
172,3,Mathematics,172
173,1,No Degree,173
174,2,No Degree,174
175,1,No Degree,175
176,3,Mathematics,176
177,2,Accounting,177
178,1,No Degree,178
179,3,Business/Management,179
180,1,Psychology,180
181,2,I.T.,181
182,2,No Degree,182
183,1,No Degree,183
184,2,Engineering,184
185,2,No Degree,185
186,3,I.T.,186
187,1,No Degree,187
188,2,No Degree,188
189,1,No Degree,189
190,3,I.T.,190
191,2,No Degree,191
192,3,Engineering,192
193,3,Mathematics,193
194,3,Communications,194
195,2,Psychology,195
196,3,I.T.,196
197,3,I.T.,197
198,2,Sociology,198
199,3,Mathematics,199
200,1,No Degree,200
201,2,I.T.,201
202,2,No Degree,202
203,2,No Degree,203
204,3,English,204
205,2,No Degree,205
206,2,No Degree,206
207,2,No Degree,207
208,2,Psychology,208
209,2,I.T.,209
210,1,No Degree,210
211,2,English,211
212,4,Engineering,212
213,2,Engineering,213
214,4,Pure Sciences,214
215,2,No Degree,215
216,2,No Degree,216
217,4,Business/Management,217
218,2,No Degree,218
219,4,Marketing/Finance,219
220,2,Business/Management,220
221,1,No Degree,221
222,3,Librarian,222
223,2,I.T.,223
224,2,No Degree,224
225,1,No Degree,225
226,1,No Degree,226
227,2,No Degree,227
228,3,Engineering,228
229,1,No Degree,229
230,2,Psychology,230
231,2,No Degree,231
232,4,Geography,232
233,2,No Degree,233
234,2,No Degree,234
235,4,Engineering,235
236,3,Business/Management,236
237,1,No Degree,237
238,3,Geography,238
239,1,No Degree,239
240,2,No Degree,240
241,2,No Degree,241
242,2,No Degree,242
243,2,Business/Management,243
244,1,I.T.,244
245,3,Pharmacy/Medical,245
246,1,No Degree,246
247,3,Mathematics,247
248,2,No Degree,248
249,2,No Degree,249
250,2,No Degree,250
251,2,International Relations,251
252,2,No Degree,252
253,2,English,253
254,2,No Degree,254
255,1,No Degree,255
256,2,No Degree,256
257,2,No Degree,257
258,4,I.T.,258
259,3,Psychology,259
260,3,No Degree,260
261,2,Business/Management,261
262,3,Public Relations,262
263,4,Engineering,263
264,4,Engineering,264
265,3,Psychology,265
266,2,Creative Writing/Arts,266
267,2,No Degree,267
268,2,No Degree,268
269,3,Sociology,269
270,3,Law,270
271,3,Animations,271
272,1,No Degree,272
273,2,No Degree,273
274,2,No Degree,274
275,2,No Degree,275
276,2,No Degree,276
277,2,No Degree,277
278,4,Creative Writing/Arts,278
279,2,Engineering,279
280,2,No Degree,280
281,2,No Degree,281
282,1,No Degree,282
283,1,No Degree,283
284,2,Business/Management,284
285,2,Business/Management,285
286,2,No Degree,286
287,4,Engineering,287
288,1,No Degree,288
289,2,No Degree,289
290,1,No Degree,290
291,4,No Degree,291
292,3,Mathematics,292
293,3,Pharmacy/Medical,293
294,4,Mathematics,294
295,2,No Degree,295
296,2,No Degree,296
297,4,Psychology,297
298,2,No Degree,298
299,1,No Degree,299
300,2,No Degree,300
301,2,I.T.,301
302,1,No Degree,302
303,1,No Degree,303
304,4,Sociology,304
305,3,Teaching,305
306,2,Sociology,306
307,2,No Degree,307
308,2,No Degree,308
309,3,Mathematics,309
310,3,Business/Management,310
311,2,No Degree,311
312,2,Engineering,312
313,2,No Degree,313
314,2,No Degree,314
315,3,Engineering,315
316,2,No Degree,316
317,4,Mathematics,317
318,4,Engineering,318
319,2,Creative Writing/Arts,319
320,2,No Degree,320
321,2,Biology,321
322,3,Engineering,322
323,2,No Degree,323
324,2,Creative Writing/Arts,324
325,3,Business/Management,325
326,3,Business/Management,326
327,2,Mathematics,327
328,1,No Degree,328
329,2,No Degree,329
330,3,Engineering,330
331,4,Business/Management,331
332,4,Marketing/Finance,332
333,1,Psychology,333
334,1,No Degree,334
335,2,No Degree,335
336,2,Psychology,336
337,2,No Degree,337
338,2,No Degree,338
339,2,No Degree,339
