loc_id,urban,country,person_id
24799,3,IN,9401
38622,3,US,19415
36137,3,PL,17608
38624,3,US,19424
12886,2,MY,12091
38899,3,US,30092
25306,3,MX,17266
10133,2,GB,34477
37179,3,US,2698
481,1,DE,17167
18221,2,US,1119
7551,1,US,15421
7981,1,US,28540
9732,2,EE,7393
19090,2,US,7443
19981,2,US,16568
19743,2,US,15786
23638,3,GB,16349
7116,1,US,1961
37804,3,US,15132
7651,1,US,16321
18230,2,US,1128
22764,3,CA,29149
23156,3,EC,18455
39,1,AU,4941
19434,2,US,12939
7619,1,US,15902
38229,3,US,17431
38518,3,US,18838
38609,3,US,19211
18650,2,US,2496
37006,3,US,1706
39332,3,US,37963
301,1,CA,15738
23283,3,FI,1537
24323,3,ID,12497
22783,3,CA,30449
561,1,FI,4850
21924,3,AE,11806
26538,3,MY,6767
23274,3,ES,37951
8880,2,AU,16728
38117,3,US,16876
18511,2,US,2049
19320,2,US,8807
21350,2,US,37285
24607,3,ID,34725
35361,3,NI,19024
35360,3,NI,19023
529,1,DO,28946
36828,3,TR,39265
38563,3,US,18977
9725,2,DO,30000
19549,2,US,15225
17641,2,NO,5254
23980,3,GR,29117
39529,3,US,39088
23978,3,GR,28723
24719,3,IN,4009
7203,1,US,4762
7827,1,US,17815
32565,3,MY,27285
8621,1,US,39319
18833,2,US,5002
38980,3,US,33964
19196,2,US,8208
18181,2,US,990
19667,2,US,15556
38829,3,US,29341
23111,3,DE,34480
8009,1,US,28777
37345,3,US,6468
9328,2,CA,12230
38811,3,US,29236
20445,2,US,18318
19803,2,US,15999
37138,3,US,2512
39508,3,US,38981
25182,3,LK,18828
23753,3,GB,28837
22359,3,BR,5698
20478,2,US,18646
19408,2,US,12300
19436,2,US,12961
8085,1,US,29478
38536,3,US,18897
20336,2,US,17798
36904,3,US,1014
20380,2,US,17955
18184,2,US,993
8040,1,US,29040
38801,3,US,29154
7398,1,US,8170
10645,2,IN,36991
8697,2,AR,5026
18642,2,US,2466
10753,2,KH,29465
19202,2,US,8223
19233,2,US,8413
37379,3,US,6742
39313,3,US,37851
727,1,GB,15747
210,1,BR,28666
39447,3,US,38625
21139,2,US,34548
19366,2,US,9629
21974,3,AR,2675
21171,2,US,34866
38595,3,US,19141
9410,2,CA,19498
7101,1,US,1766
36827,3,TR,39264
18692,2,US,2710
25054,3,IT,29074
1203,1,MK,37301
18681,2,US,2665
36207,3,PT,34019
39140,3,US,36184
23986,3,GR,36179
7297,1,US,6732
38312,3,US,17812
9066,2,BA,6591
18169,2,US,776
36962,3,US,1460
8381,1,US,37397
23613,3,GB,15651
8999,2,AU,36584
8039,1,US,29039
39346,3,US,38053
21737,2,US,39227
18392,2,US,1654
39265,3,US,37377
17976,2,RU,17995
19888,2,US,16235
23788,3,GB,34085
18836,2,US,5063
25002,3,IT,1740
24816,3,IN,12151
23897,3,GB,38697
19144,2,US,7977
20601,2,US,20439
7793,1,US,17476
23882,3,GB,38486
24077,3,HU,4625
10235,2,GB,38991
38227,3,US,17418
21323,2,US,37173
20888,2,US,29332
10766,2,KR,39639
7333,1,US,7439
579,1,FI,39243
10577,2,IN,4144
1058,1,IE,8744
8890,2,AU,17054
21797,2,US,39433
20816,2,US,29016
36365,3,RS,37927
17655,2,NO,28888
37433,3,US,7500
22982,3,CZ,8255
36073,3,PL,1225
6848,1,PL,1485
21193,2,US,35773
721,1,GB,15392
18360,2,US,1622
37996,3,US,16134
18437,2,US,1825
23848,3,GB,37497
10305,2,HU,5031
10686,2,IT,34362
22502,3,CA,4821
23771,3,GB,29557
22423,3,BR,34478
7693,1,US,16552
37890,3,US,15688
8629,1,US,39347
8352,1,US,37246
39394,3,US,38320
19794,2,US,15990
7192,1,US,4751
6707,1,PH,9794
25009,3,IT,5151
7808,1,US,17640
36347,3,RS,17903
36241,3,RO,2362
9673,2,DE,28879
23444,3,GB,2073
19081,2,US,7412
441,1,DE,1719
20014,2,US,16764
666,1,GB,5111
20730,2,US,28615
38961,3,US,33446
7362,1,US,7802
37471,3,US,7889
38632,3,US,19876
23890,3,GB,38616
21556,2,US,38403
21498,2,US,38187
38771,3,US,28970
18313,2,US,1374
21538,2,US,38325
18348,2,US,1409
25271,3,MX,2725
8394,1,US,37465
7765,1,US,17318
38280,3,US,17643
10661,2,IT,1509
24836,3,IN,18336
8730,2,AU,652
9890,2,GB,1823
19121,2,US,7809
39094,3,US,34681
9810,2,FR,1508
1989,1,MY,8063
22714,3,CA,19030
7350,1,US,7749
37499,3,US,8193
21309,2,US,36649
16875,2,MY,33593
9816,2,FR,4708
20309,2,US,17720
23896,3,GB,38657
38535,3,US,18896
19461,2,US,14895
35808,3,PH,14603
19822,2,US,16018
19560,2,US,15236
17359,2,MY,36481
22084,3,AU,16596
35740,3,PH,12174
23447,3,GB,2159
17944,2,RO,7818
24793,3,IN,9395
7685,1,US,16520
37203,3,US,3044
39098,3,US,34739
8180,1,US,34340
19270,2,US,8587
37177,3,US,2691
18625,2,US,2394
9518,2,CA,38813
7298,1,US,6738
18121,2,US,83
36075,3,PL,1227
22149,3,AU,37616
568,1,FI,15745
18738,2,US,4673
6916,1,RO,38058
9750,2,ES,4707
9607,2,DE,4867
24483,3,ID,21069
9653,2,DE,17749
21426,2,US,37864
38033,3,US,16293
38578,3,US,19031
36654,3,SG,23427
9647,2,DE,17413
7422,1,US,8457
17804,2,PH,9965
10348,2,ID,3844
24559,3,ID,29942
10501,2,ID,28692
23272,3,ES,37449
9037,2,AU,38596
17799,2,PH,9960
24449,3,ID,21035
10084,2,GB,28567
18190,2,US,1017
21445,2,US,38011
1063,1,IE,34218
17924,2,PT,6792
208,1,BR,19128
23955,3,GR,5045
23949,3,GR,1544
8442,1,US,38083
36621,3,SG,19117
6899,1,RO,7343
24742,3,IN,6180
36296,3,RO,28514
35579,3,PH,933
19520,2,US,15077
37069,3,US,2137
9216,2,CA,1110
9362,2,CA,16213
9224,2,CA,1770
7677,1,US,16460
7391,1,US,8127
37813,3,US,15163
37089,3,US,2262
7066,1,US,1583
10308,2,HU,7871
8941,2,AU,29202
24148,3,ID,3220
10648,2,IN,37647
38116,3,US,16875
37091,3,US,2264
23827,3,GB,37154
39486,3,US,38879
9649,2,DE,17491
1049,1,IE,2692
22404,3,BR,28708
7144,1,US,2236
7896,1,US,18485
39050,3,US,34409
19235,2,US,8428
22005,3,AT,17375
21764,2,US,39322
22845,3,CA,38231
21153,2,US,34606
21394,2,US,37478
7922,1,US,19085
19127,2,US,7831
22088,3,AU,17654
27718,3,MY,11297
19037,2,US,6869
7524,1,US,15203
19084,2,US,7426
10168,2,GB,37277
22469,3,CA,1421
22623,3,CA,15271
23805,3,GB,34677
36853,3,UA,5397
9909,2,GB,2242
12221,2,MY,8745
21831,2,US,39570
18803,2,US,4972
20582,2,US,19792
12463,2,MY,9941
8068,1,US,29367
36109,3,PL,8134
22144,3,AU,36894
25142,3,KR,3003
25031,3,IT,15826
8856,2,AU,15072
35595,3,PH,3495
37689,3,US,13374
904,1,HU,38418
21570,2,US,38494
1217,1,MX,37575
23086,3,DE,17453
8929,2,AU,28780
9301,2,CA,8304
8253,1,US,36027
128,1,AU,37983
76,1,AU,17020
22111,3,AU,28336
8790,2,AU,6978
9025,2,AU,38089
22495,3,CA,2977
39492,3,US,38896
23953,3,GR,4908
19252,2,US,8496
20319,2,US,17769
22351,3,BR,5147
20464,2,US,18391
36560,3,SG,9694
8748,2,AU,1983
10268,2,GR,18310
24475,3,ID,21061
22758,3,CA,29107
25168,3,KW,39513
703,1,GB,8561
7353,1,US,7787
1228,1,MY,224
8568,1,US,38950
18352,2,US,1413
23908,3,GB,38865
39257,3,US,37351
19318,2,US,8780
19310,2,US,8746
19334,2,US,8928
36205,3,PT,34017
509,1,DE,37421
22956,3,CO,18886
10275,2,GR,37306
36180,3,PL,39405
20842,2,US,29137
20706,2,US,28591
22595,3,CA,12199
23649,3,GB,16861
9532,2,CA,39307
18405,2,US,1667
23658,3,GB,17129
20181,2,US,17238
39131,3,US,36148
10427,2,ID,19982
38903,3,US,30188
8769,2,AU,4765
741,1,GB,17025
8377,1,US,37385
868,1,GE,5383
21163,2,US,34648
9620,2,DE,7512
20185,2,US,17279
9495,2,CA,37400
6942,1,SE,6662
38058,3,US,16438
10254,2,GB,39717
21137,2,US,34542
21549,2,US,38376
24012,3,HK,9086
10754,2,KR,5
22043,3,AU,7544
755,1,GB,17827
38823,3,US,29310
24152,3,ID,3224
7662,1,US,16362
20763,2,US,28814
21607,2,US,38719
18963,2,US,6558
35452,3,NZ,7738
17999,2,SE,6487
36310,3,RO,34146
8904,2,AU,18241
22096,3,AU,18499
23680,3,GB,17524
19463,2,US,14897
18537,2,US,2120
5160,1,MY,29782
36477,3,SE,8602
9769,2,FI,1505
7958,1,US,28397
6791,1,PH,26224
37355,3,US,6530
35525,3,NZ,36182
20151,2,US,17109
21897,2,ZA,36376
39405,3,US,38378
18883,2,US,5273
24529,3,ID,25647
24419,3,ID,20172
17610,2,NL,7884
25147,3,KR,12941
17930,2,PT,16953
8884,2,AU,17048
24373,3,ID,19668
39395,3,US,38326
8456,1,US,38166
19143,2,US,7953
10671,2,IT,15774
35407,3,NL,29588
23140,3,DK,16661
10409,2,ID,12752
8464,1,US,38201
10701,2,JM,8493
8510,1,US,38588
23226,3,ES,1873
24977,3,IN,38518
22638,3,CA,15798
23546,3,GB,8235
38091,3,US,16607
39499,3,US,38934
20206,2,US,17353
18986,2,US,6684
23657,3,GB,17128
19526,2,US,15096
23322,3,FR,4904
25173,3,LB,976
1156,1,JM,33941
18213,2,US,1083
18387,2,US,1649
18755,2,US,4778
1079,1,IN,5795
8928,2,AU,28557
18744,2,US,4679
35140,3,MY,36927
21521,2,US,38227
6717,1,PH,10529
10066,2,GB,19197
23387,3,FR,38623
9236,2,CA,2706
620,1,FR,34111
23666,3,GB,17241
22870,3,CA,38864
22538,3,CA,7778
19472,2,US,14928
8648,1,US,39536
38457,3,US,18507
386,1,CA,38423
38488,3,US,18738
24176,3,ID,7771
20333,2,US,17783
21847,2,US,39664
37803,3,US,15123
38735,3,US,28845
9704,2,DE,39385
7193,1,US,4752
18515,2,US,2053
18476,2,US,1934
18338,2,US,1399
20128,2,US,17086
20900,2,US,29393
38582,3,US,19051
22877,3,CA,39023
21716,2,US,39157
39620,3,US,39564
19175,2,US,8149
18964,2,US,6559
35517,3,NZ,34335
23984,3,GR,34136
38662,3,US,25477
9678,2,DE,29567
25091,3,JM,28363
428,1,CZ,6688
10155,2,GB,36479
37609,3,US,9590
19443,2,US,13398
39361,3,US,38157
21555,2,US,38395
9566,2,CL,7538
21917,3,AE,9323
19929,2,US,16387
37053,3,US,2075
18186,2,US,1001
22168,3,AW,8030
35535,3,NZ,39094
37145,3,US,2532
8399,1,US,37477
10826,2,MX,30552
18842,2,US,5097
18832,2,US,5001
20619,2,US,24950
20220,2,US,17390
7519,1,US,15198
25047,3,IT,17647
9999,2,GB,15935
22880,3,CA,39079
37093,3,US,2282
19645,2,US,15534
37266,3,US,5069
38544,3,US,18914
20377,2,US,17952
7859,1,US,18013
20126,2,US,17084
22517,3,CA,6570
20633,2,US,26570
39036,3,US,34295
38437,3,US,18410
22526,3,CA,7297
23107,3,DE,34132
24671,3,IL,39602
24457,3,ID,21043
8660,1,US,39649
24734,3,IN,5846
19101,2,US,7509
37066,3,US,2102
23420,3,GB,1437
25264,3,MX,2549
746,1,GB,17030
