temper_id,tipi1,tipi2,tipi3,tipi4,tipi5,tipi6,tipi7,tipi8,tipi9,tipi10,person_id
0,1,5,7,7,7,7,7,5,1,1,0
1,6,5,4,7,5,4,7,7,1,5,1
2,2,5,2,2,5,6,5,5,3,2,2
3,1,1,7,4,6,4,6,1,6,1,3
4,2,5,3,6,5,5,5,6,3,3,4
5,2,1,6,1,7,7,7,2,6,7,5
6,2,5,6,5,3,2,6,3,5,5,6
7,7,6,4,5,3,2,6,3,5,2,7
8,1,4,5,7,5,7,6,7,1,4,8
9,1,7,5,7,5,7,1,2,1,7,9
10,5,3,6,6,3,4,4,7,5,7,10
11,6,5,6,6,6,2,5,3,3,3,11
12,5,1,4,6,5,5,7,6,2,1,12
13,5,2,5,5,2,6,7,6,6,2,13
14,3,5,6,1,6,5,3,2,7,2,14
15,3,5,4,5,6,5,4,3,4,4,15
16,1,7,5,7,1,6,5,4,1,3,16
17,1,4,4,0,7,5,4,4,3,1,17
18,2,7,7,1,6,5,4,7,6,2,18
19,2,2,5,4,6,7,4,6,3,6,19
20,7,1,3,6,6,1,7,6,1,1,20
21,1,6,5,7,2,6,2,7,2,7,21
22,3,3,5,5,5,5,5,3,1,1,22
23,1,5,5,6,3,6,5,3,3,5,23
24,2,4,3,5,5,6,5,7,3,4,24
25,1,6,5,7,7,7,1,6,1,2,25
26,4,1,7,7,7,2,6,5,1,1,26
27,7,3,1,7,7,1,5,7,3,1,27
28,1,6,6,6,5,7,1,7,4,7,28
29,3,3,5,1,5,5,5,5,6,5,29
30,5,6,4,6,6,6,5,3,2,4,30
31,5,5,5,5,7,7,7,5,5,6,31
32,6,1,2,0,5,6,7,6,1,1,32
33,5,7,5,4,6,2,5,5,2,1,33
34,5,6,6,2,6,6,3,4,2,4,34
35,5,2,6,5,7,7,5,2,1,3,35
36,5,5,2,6,7,5,7,3,2,7,36
37,2,5,6,6,5,7,5,5,4,6,37
38,7,2,2,4,5,5,6,4,3,1,38
39,5,6,6,2,7,4,3,5,5,2,39
40,7,5,7,1,7,7,7,7,7,1,40
41,4,3,4,7,6,5,5,3,2,2,41
42,2,4,3,6,2,6,4,5,1,1,42
43,5,7,2,5,5,6,5,6,1,1,43
44,1,4,4,3,5,6,1,3,7,1,44
45,1,5,7,6,5,7,7,1,6,1,45
46,6,5,3,5,6,5,5,4,4,4,46
47,3,6,4,7,4,4,6,5,2,4,47
48,5,4,4,6,4,4,6,5,2,5,48
49,4,6,5,6,6,4,4,2,3,2,49
50,2,2,3,1,7,7,3,7,7,1,50
51,3,5,5,6,2,6,6,5,2,3,51
52,3,6,3,4,4,7,3,4,3,3,52
53,3,5,2,7,5,3,4,6,2,2,53
54,1,5,6,2,4,6,2,2,6,6,54
55,5,7,5,1,3,1,1,1,4,1,55
56,4,5,6,6,4,5,6,4,5,3,56
57,2,4,1,5,6,4,3,6,6,3,57
58,5,2,1,2,7,6,6,7,4,3,58
59,4,5,6,5,7,5,3,6,6,1,59
60,1,6,7,1,5,6,5,3,7,2,60
61,3,5,6,6,6,7,6,5,5,6,61
62,2,4,3,5,2,6,3,2,6,3,62
63,6,5,4,1,6,1,3,5,7,2,63
64,5,7,2,6,6,6,2,7,1,2,64
65,2,5,1,6,4,6,6,5,4,4,65
66,7,4,6,1,6,3,4,2,6,1,66
67,2,1,4,5,4,6,7,3,5,1,67
68,3,2,6,4,6,6,7,3,6,2,68
69,5,6,4,5,7,6,5,1,4,2,69
70,3,3,7,5,5,7,7,1,3,4,70
71,1,1,4,1,4,6,2,6,4,7,71
72,6,5,3,7,7,6,7,7,2,1,72
73,2,3,4,4,6,5,4,4,4,1,73
74,2,2,2,5,5,6,6,1,5,2,74
75,3,3,4,7,3,7,5,6,2,7,75
76,6,4,7,1,6,4,1,1,6,2,76
77,5,2,7,5,5,3,7,2,5,5,77
78,2,7,4,6,4,2,2,3,2,5,78
79,2,5,4,7,4,6,4,4,3,7,79
80,5,2,2,1,4,5,2,6,7,4,80
81,7,6,3,6,4,1,7,5,3,2,81
82,6,6,5,4,7,2,5,3,5,4,82
83,1,6,5,3,5,5,1,3,6,2,83
84,6,5,6,3,7,6,5,5,4,6,84
85,4,4,6,7,6,7,5,4,4,1,85
86,2,5,6,5,7,6,5,6,5,3,86
87,1,3,5,6,6,7,2,7,1,2,87
88,1,2,5,7,1,6,5,6,1,4,88
89,6,4,6,0,5,4,5,5,4,2,89
90,1,5,2,7,3,7,3,5,1,3,90
91,7,5,6,1,5,2,3,1,7,1,91
92,7,1,7,5,7,2,7,5,5,1,92
93,1,1,4,7,4,7,7,4,1,4,93
94,2,6,1,7,1,5,2,6,7,6,94
95,4,1,7,3,6,5,4,3,3,2,95
96,1,5,6,6,5,7,5,1,3,3,96
97,1,1,1,6,6,7,5,4,1,4,97
98,6,6,3,5,7,3,6,3,3,5,98
99,1,1,7,5,4,7,7,1,7,4,99
100,3,4,7,2,6,7,7,1,6,5,100
101,2,4,7,3,2,7,5,5,5,1,101
102,2,1,3,2,7,6,7,5,7,2,102
103,1,6,7,5,2,6,2,1,3,3,103
104,7,6,5,4,6,2,6,6,5,1,104
105,3,5,6,6,7,2,6,6,3,2,105
106,1,3,4,5,6,7,5,5,3,5,106
107,4,5,7,7,4,7,7,1,1,5,107
108,0,0,0,0,0,0,0,0,0,0,108
109,6,3,6,2,7,2,7,3,7,5,109
110,2,6,2,5,2,5,2,7,2,5,110
111,1,5,1,7,7,7,1,7,5,1,111
112,1,3,7,6,5,7,3,4,4,1,112
113,5,6,2,5,7,4,7,6,1,2,113
114,2,6,3,7,2,6,6,6,3,5,114
115,1,1,5,4,2,7,6,7,6,5,115
116,6,5,3,7,7,2,6,5,2,4,116
117,2,4,6,6,6,4,7,2,5,2,117
118,6,2,3,5,6,1,7,2,1,1,118
119,2,6,1,6,2,5,3,7,1,2,119
120,3,7,6,5,3,2,1,1,1,1,120
121,1,2,7,2,6,7,5,1,7,7,121
122,1,5,6,5,6,7,4,5,2,4,122
123,5,4,4,5,7,6,6,5,3,2,123
124,6,5,6,6,7,3,6,2,5,1,124
125,2,3,3,5,5,4,5,7,3,1,125
126,2,1,5,5,5,6,6,5,4,5,126
127,6,3,6,3,7,5,6,2,4,2,127
128,3,5,6,7,5,7,1,5,2,5,128
129,4,3,4,5,7,6,5,4,2,6,129
130,5,7,7,5,6,5,2,7,2,6,130
131,6,2,6,2,5,5,6,5,6,5,131
132,4,3,3,3,3,4,4,4,4,3,132
133,6,5,2,6,5,5,6,2,2,6,133
134,6,3,5,5,6,5,5,3,5,3,134
135,3,2,3,1,7,5,7,5,6,5,135
136,2,6,5,5,6,0,3,5,2,6,136
137,6,6,7,7,4,5,6,7,2,1,137
138,5,5,5,7,5,3,7,4,2,2,138
139,5,2,7,2,5,7,6,2,6,4,139
140,5,5,3,7,5,6,7,6,2,6,140
141,1,1,1,1,1,7,1,1,4,1,141
142,7,5,3,5,6,2,7,3,5,2,142
143,2,2,3,6,6,6,2,2,2,6,143
144,4,2,6,4,6,4,7,1,4,2,144
145,6,7,6,7,3,7,7,7,2,2,145
146,6,6,7,6,5,5,6,4,3,2,146
147,1,3,1,7,2,7,6,6,1,4,147
148,5,2,2,2,6,6,5,5,6,5,148
149,3,5,6,4,7,7,4,3,5,2,149
150,2,7,6,6,2,7,1,5,2,4,150
151,5,7,1,4,5,5,6,6,1,1,151
152,6,5,2,5,6,6,7,6,3,2,152
153,3,3,3,6,5,5,6,5,3,4,153
154,2,5,7,5,7,7,7,1,5,5,154
155,1,4,6,4,2,7,1,4,3,3,155
156,7,4,7,5,7,2,6,3,6,2,156
157,7,5,4,5,6,3,6,7,3,3,157
158,1,3,7,7,5,6,7,5,3,3,158
159,6,4,6,3,5,5,3,2,6,3,159
160,6,7,5,3,7,5,4,3,3,1,160
161,2,4,4,6,5,5,4,4,5,3,161
162,5,5,5,5,6,5,5,4,3,3,162
163,6,0,4,5,5,2,7,2,4,2,163
164,5,3,1,1,5,3,7,5,6,1,164
165,5,6,6,7,6,6,7,6,5,4,165
166,3,5,6,3,6,5,6,2,7,3,166
167,1,4,7,7,5,5,6,3,1,1,167
168,6,6,6,1,6,5,4,3,7,6,168
169,1,6,4,7,5,7,6,5,1,3,169
170,1,5,5,5,5,7,1,3,6,7,170
171,5,6,5,6,6,6,6,3,3,2,171
172,2,6,5,6,5,7,5,3,3,5,172
173,2,2,5,5,3,5,5,3,4,3,173
174,1,7,7,7,5,7,5,2,2,2,174
175,1,6,7,5,5,7,3,7,1,7,175
176,1,7,5,6,5,1,7,5,2,5,176
177,5,5,3,4,6,4,6,5,6,2,177
178,1,2,5,7,5,7,6,3,2,4,178
179,6,3,7,5,7,3,6,1,6,2,179
180,5,2,5,1,4,3,6,1,7,4,180
181,2,5,4,4,3,6,4,5,6,2,181
182,1,1,7,7,5,6,6,1,5,1,182
183,2,6,2,1,4,7,2,6,5,2,183
184,6,4,5,5,6,5,7,4,3,1,184
185,5,5,2,6,4,6,5,5,2,2,185
186,5,5,3,5,5,3,5,3,3,5,186
187,6,6,6,5,7,5,7,6,5,3,187
188,1,4,1,7,1,7,2,7,1,7,188
189,7,7,5,5,6,2,6,5,3,3,189
190,1,1,1,7,1,7,1,7,1,7,190
191,5,5,3,6,6,3,7,7,3,1,191
192,3,5,7,7,7,5,7,1,3,2,192
193,1,7,3,6,2,1,1,5,2,1,193
194,5,1,4,7,5,6,7,2,2,4,194
195,2,2,4,5,4,6,6,5,3,5,195
196,5,6,6,6,6,5,6,3,5,4,196
197,4,5,5,5,6,6,5,6,5,1,197
198,7,1,3,5,5,1,7,6,2,1,198
199,7,5,6,7,6,5,7,3,4,1,199
200,5,7,7,6,6,5,2,3,1,2,200
201,4,3,5,4,7,3,6,3,5,3,201
202,1,1,7,6,5,7,7,5,1,5,202
203,1,4,4,5,4,6,5,3,1,6,203
204,1,1,3,3,5,6,7,3,5,1,204
205,1,1,3,7,3,7,6,7,1,2,205
206,2,5,4,4,6,6,3,4,2,1,206
207,5,4,3,5,5,6,4,5,4,2,207
208,7,5,6,3,5,7,7,3,5,3,208
209,2,6,5,4,3,6,7,5,6,1,209
210,1,5,2,7,5,7,6,7,5,6,210
211,5,6,6,5,7,3,6,2,5,2,211
212,4,5,6,4,4,5,6,4,4,3,212
213,6,7,6,1,6,7,7,2,7,3,213
